time/h,Ewe/V
1.88246,3.86808
1.8908,3.86881
1.89913,3.86961
1.90746,3.87054
1.9158,3.87128
1.92413,3.87213
1.93246,3.87288
1.9408,3.87379
1.94913,3.87471
1.95746,3.87551
1.9658,3.87637
1.97413,3.87731
1.98246,3.87806
1.9908,3.87905
1.99913,3.87988
2.00746,3.88072
2.0158,3.88164
2.02413,3.88261
2.03246,3.88348
2.0408,3.88436
2.04913,3.8853
2.05746,3.88618
2.0658,3.88712
2.07413,3.88787
2.08246,3.88888
2.0908,3.88984
2.09913,3.89083
2.10746,3.89162
2.1158,3.89264
2.12413,3.89361
2.13246,3.89455
2.1408,3.89546
2.14913,3.89649
2.15746,3.89738
2.1658,3.8983
2.17413,3.89933
2.18246,3.90025
2.1908,3.90132
2.19913,3.90228
2.20746,3.90318
2.2158,3.90421
2.22413,3.9052
2.23246,3.90617
2.2408,3.90719
2.24913,3.90823
2.25746,3.90926
2.2658,3.91025
2.27413,3.91113
2.28246,3.91232
2.2908,3.91325
2.29913,3.91428
2.30746,3.91528
2.3158,3.91636
2.32413,3.91735
2.33246,3.91845
2.3408,3.91938
2.34913,3.92047
2.35746,3.92148
2.3658,3.92238
2.37413,3.92357
2.38246,3.92467
2.3908,3.92573
2.39913,3.92682
2.40746,3.92782
2.4158,3.92895
2.42413,3.93
2.43246,3.93088
2.4408,3.93204
2.44913,3.93313
2.45746,3.93419
2.4658,3.93524
2.47413,3.9364
2.48246,3.93752
2.4908,3.93849
2.49913,3.93959
2.50746,3.94076
2.5158,3.94169
2.52413,3.94285
2.53246,3.9439
2.5408,3.9451
2.54913,3.94607
2.55746,3.94721
2.5658,3.94834
2.57413,3.94934
2.58246,3.95044
2.5908,3.9516
2.59913,3.95272
2.60746,3.95379
2.6158,3.95486
2.62413,3.95589
2.63246,3.95722
2.6408,3.95823
2.64913,3.95929
2.65746,3.96045
2.6658,3.96141
2.67413,3.96263
2.68246,3.96363
2.6908,3.96485
2.69913,3.96595
2.70746,3.96707
2.7158,3.96817
2.72413,3.96931
2.73246,3.97046
2.7408,3.9715
2.74913,3.97263
2.75746,3.97383
2.7658,3.97483
2.77413,3.97613
2.78246,3.97708
2.7908,3.97842
2.79913,3.97957
2.80746,3.98051
2.8158,3.98167
2.82413,3.98271
2.83246,3.98401
2.8408,3.98505
2.84913,3.98607
2.85746,3.98729
2.8658,3.98831
2.87413,3.98951
2.88246,3.99054
2.8908,3.99178
2.89913,3.99289
2.90746,3.99397
2.9158,3.99514
2.92413,3.99625
2.93246,3.99736
2.9408,3.99849
2.94913,3.99971
2.95746,4.0008
2.9658,4.00193
2.97413,4.00303
2.98246,4.00416
2.9908,4.00533
2.99913,4.00648
3.00746,4.00774
3.0158,4.00871
3.02413,4.0098
3.03246,4.01115
3.0408,4.01212
3.04913,4.01334
3.05746,4.01442
3.0658,4.01557
3.07413,4.01677
3.08246,4.01799
3.0908,4.01908
3.09913,4.02008
3.10746,4.02138
3.1158,4.02244
3.12413,4.0237
3.13246,4.02481
3.1408,4.02589
3.14913,4.02712
3.15746,4.02829
3.1658,4.02936
3.17413,4.03054
3.18246,4.0317
3.1908,4.03284
3.19913,4.03399
3.20746,4.03516
3.2158,4.03628
3.22413,4.03746
3.23246,4.03874
3.2408,4.0398
3.24913,4.04094
3.25746,4.0421
3.2658,4.04327
3.27413,4.04442
3.28246,4.04565
3.2908,4.04685
3.29913,4.04792
3.30746,4.04913
3.3158,4.05026
3.32413,4.05133
3.33246,4.05259
3.3408,4.05383
3.34913,4.05482
3.35746,4.056
3.3658,4.05721
3.37413,4.05846
3.38246,4.05972
3.3908,4.0608
3.39913,4.06192
3.40746,4.06315
3.4158,4.06432
3.42413,4.06558
3.43246,4.06665
3.4408,4.06795
3.44913,4.06904
3.45746,4.0702
3.4658,4.07146
3.47413,4.07264
3.48246,4.0738
3.4908,4.07501
3.49913,4.07618
3.50746,4.07748
3.5158,4.07867
3.52413,4.0798
3.53246,4.08108
3.5408,4.08228
3.54913,4.08344
3.55746,4.08461
3.5658,4.0858
3.57413,4.08704
3.58246,4.08821
3.5908,4.08946
3.59913,4.09069
3.60746,4.09181
3.6158,4.09314
3.62413,4.09431
3.63246,4.09565
3.6408,4.09675
3.64913,4.09815
3.65746,4.0991
3.6658,4.10051
3.67413,4.1017
3.68246,4.10301
3.6908,4.10421
3.69913,4.10542
3.70746,4.10668
3.7158,4.10787
3.72413,4.10912
3.73246,4.11049
3.7408,4.11175
3.74913,4.11294
3.75746,4.11422
3.7658,4.11544
3.77413,4.11675
3.78246,4.11796
3.7908,4.11927
3.79913,4.12056
3.80746,4.12181
3.8158,4.12317
3.82413,4.12432
3.83246,4.12567
3.8408,4.12696
3.84913,4.12816
3.85746,4.12961
3.8658,4.13068
3.87413,4.13197
3.88246,4.13341
3.8908,4.13461
3.89913,4.13587
3.90746,4.13721
3.9158,4.13853
3.92413,4.13992
3.93246,4.14111
3.9408,4.14238
3.94913,4.14358
3.95746,4.14523
3.9658,4.14642
3.97413,4.14768
3.98246,4.14911
3.9908,4.15033
3.99913,4.15171
4.00746,4.153
4.0158,4.15442
4.02413,4.15569
4.03246,4.15692
4.0408,4.15838
4.04913,4.15963
4.05746,4.16103
4.0658,4.16234
4.07413,4.1637
4.08246,4.16503
4.0908,4.1665
4.09913,4.16772
4.10746,4.16911
4.1158,4.17051
